"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,194,"LCA","Saint Lucia",1,"Anse-la-Raye","LC.AR",NA,"","Quarter","Quarter","",""
2,194,"LCA","Saint Lucia",2,"Canaries","LC.CN",NA,"","Quarter","Quarter","",""
3,194,"LCA","Saint Lucia",3,"Castries","LC.CS",NA,"","Quarter","Quarter","",""
4,194,"LCA","Saint Lucia",4,"Choiseul","LC.CH",NA,"","Quarter","Quarter","",""
5,194,"LCA","Saint Lucia",5,"Dennery","LC.DE",NA,"","Quarter","Quarter","",""
6,194,"LCA","Saint Lucia",6,"Gros Islet","LC.GI",NA,"","Quarter","Quarter","",""
7,194,"LCA","Saint Lucia",7,"Laborie","LC.LB",NA,"","Quarter","Quarter","",""
8,194,"LCA","Saint Lucia",8,"Micoud","LC.MI",NA,"","Quarter","Quarter","",""
9,194,"LCA","Saint Lucia",9,"Soufrière","LC.CO",NA,"","Quarter","Quarter","",""
10,194,"LCA","Saint Lucia",10,"Vieux Fort","LC.VF",NA,"","Quarter","Quarter","",""
